,N,Type,Loss,method,metric,type_dens
194,100,lapl_gauss_KL_div_adapative_dantzig,0.815503695022,A.D,KL,lapl_gauss
195,100,lapl_gauss_KL_div_adapative_dantzig,0.556491052778,A.D,KL,lapl_gauss
196,100,lapl_gauss_KL_div_adapative_dantzig,0.664043736913,A.D,KL,lapl_gauss
197,100,lapl_gauss_KL_div_adapative_dantzig,0.815503695022,A.D,KL,lapl_gauss
198,100,lapl_gauss_KL_div_adapative_dantzig,0.9092658525,A.D,KL,lapl_gauss
199,100,lapl_gauss_KL_div_adapative_dantzig,0.629036718336,A.D,KL,lapl_gauss
200,100,lapl_gauss_KL_div_adapative_dantzig,1.01751697004,A.D,KL,lapl_gauss
201,100,lapl_gauss_KL_div_adapative_dantzig,0.897044355351,A.D,KL,lapl_gauss
202,100,lapl_gauss_KL_div_adapative_dantzig,0.603220852501,A.D,KL,lapl_gauss
203,100,lapl_gauss_KL_div_adapative_dantzig,0.897044355351,A.D,KL,lapl_gauss
204,100,lapl_gauss_KL_div_adapative_dantzig,0.817844508495,A.D,KL,lapl_gauss
205,100,lapl_gauss_KL_div_adapative_dantzig,0.614538690429,A.D,KL,lapl_gauss
206,100,lapl_gauss_KL_div_adapative_dantzig,0.75494603831,A.D,KL,lapl_gauss
207,100,lapl_gauss_KL_div_adapative_dantzig,0.850039716746,A.D,KL,lapl_gauss
208,100,lapl_gauss_KL_div_adapative_dantzig,0.813711554066,A.D,KL,lapl_gauss
209,100,lapl_gauss_KL_div_adapative_dantzig,0.556491052778,A.D,KL,lapl_gauss
210,100,lapl_gauss_KL_div_adapative_dantzig,0.813711554066,A.D,KL,lapl_gauss
211,100,lapl_gauss_KL_div_adapative_dantzig,0.811449187114,A.D,KL,lapl_gauss
212,100,lapl_gauss_KL_div_adapative_dantzig,0.756597708013,A.D,KL,lapl_gauss
213,100,lapl_gauss_KL_div_adapative_dantzig,0.850039716746,A.D,KL,lapl_gauss
214,100,lapl_gauss_KL_div_adapative_dantzig,0.799469404832,A.D,KL,lapl_gauss
215,100,lapl_gauss_KL_div_adapative_dantzig,0.811449187114,A.D,KL,lapl_gauss
216,100,lapl_gauss_KL_div_adapative_dantzig,0.601209707589,A.D,KL,lapl_gauss
217,100,lapl_gauss_KL_div_adapative_dantzig,0.957983497671,A.D,KL,lapl_gauss
218,100,lapl_gauss_KL_div_adapative_dantzig,0.756597708013,A.D,KL,lapl_gauss
219,100,lapl_gauss_KL_div_adapative_dantzig,0.629036718336,A.D,KL,lapl_gauss
220,500,lapl_gauss_KL_div_adapative_dantzig,0.117511197024,A.D,KL,lapl_gauss
221,500,lapl_gauss_KL_div_adapative_dantzig,0.154276077239,A.D,KL,lapl_gauss
